ticker,date,signal,score,rsi,close,entry,stop,tp1,tp2,exit,exit_reason,rr_planned,ret_pct_net
ROSN,2025-10-05,ЛОНГ,5,28.6,403.05,404.6022,383.13,426.15,435.54,426.15,tp1,1.0,5.126
ROSN,2025-10-22,ЛОНГ,5,40.3,401.95,390.3451,381.1,419.16,428.4,381.1,stop,3.12,-2.568
ROSN,2025-10-23,ЛОНГ,6,34.6,389.85,391.9459,373.04,419.16,428.4,373.04,stop,1.44,-5.024
ROSN,2025-10-24,ЛОНГ,6,34.6,389.8,389.9449,372.94,419.16,428.4,372.94,stop,1.72,-4.561
ROSN,2025-10-27,ЛОНГ,8,27.4,370.15,370.3351,351.23,419.16,428.4,402.6,timeout,2.56,8.512
ROSN,2025-10-28,ЛОНГ,5,32.3,376.5,377.1885,355.98,419.16,428.4,412.95,timeout,1.98,9.281
ROSN,2025-10-29,ЛОНГ,5,33.4,377.95,378.139,357.91,419.16,428.4,407.95,timeout,2.03,7.684
ROSN,2025-10-31,ЛОНГ,5,38.1,382.45,381.6907,361.0,419.16,428.4,419.16,tp1,1.81,9.617
ROSN,2025-11-01,ЛОНГ,5,39.8,384.8,385.1925,366.04,419.16,428.4,419.16,tp1,1.77,8.618
SNGSP,2026-01-27,ШОРТ,-5,67.3,43.8,43.7781,44.76,42.18,41.26,44.76,stop,1.63,-2.443
SNGSP,2026-03-01,ШОРТ,-4,73.8,46.81,46.6167,48.22,45.2,44.21,45.2,tp1,0.88,2.839
MAGN,2025-09-22,ЛОНГ,5,30.0,30.43,30.4402,29.27,32.74,33.47,29.27,stop,1.97,-4.044
MAGN,2025-09-24,ЛОНГ,5,28.8,29.88,29.8949,28.58,32.74,33.47,28.58,stop,2.16,-4.599
MAGN,2025-09-27,ЛОНГ,5,27.6,29.48,29.4647,27.82,32.74,33.47,27.82,stop,1.99,-5.782
MAGN,2025-10-01,ЛОНГ,5,17.0,27.01,27.0235,25.69,32.74,33.47,25.69,stop,4.29,-5.135
MAGN,2025-10-02,ЛОНГ,5,16.6,26.85,26.8634,25.56,32.74,33.47,25.56,stop,4.51,-5.052
MAGN,2025-10-03,ЛОНГ,5,14.6,26.16,26.2481,24.85,32.74,33.47,24.85,stop,4.64,-5.527
MAGN,2025-10-04,ЛОНГ,5,14.1,25.93,26.013,24.64,32.74,33.47,24.64,stop,4.9,-5.478
MAGN,2025-10-14,ЛОНГ,5,27.1,25.25,25.2676,23.81,27.48,28.09,27.48,tp1,1.52,8.556
MAGN,2025-10-15,ЛОНГ,5,26.4,25.08,25.1126,23.65,27.48,28.09,27.48,tp1,1.62,9.227
MAGN,2025-10-22,ЛОНГ,6,38.7,25.84,25.5128,24.18,27.48,28.09,24.18,stop,1.48,-5.424
MAGN,2025-10-23,ЛОНГ,7,36.7,25.45,25.4627,23.86,27.48,28.09,24.39,timeout,1.26,-4.413
MAGN,2025-10-24,ЛОНГ,7,34.8,25.07,25.0875,23.0,27.48,28.09,24.76,timeout,1.15,-1.506
MAGN,2025-10-27,ЛОНГ,6,30.7,24.12,24.1371,22.46,27.48,28.09,25.39,timeout,1.99,4.991
MAGN,2025-10-28,ЛОНГ,7,36.1,24.75,24.7574,22.88,27.48,28.09,26.15,timeout,1.45,5.425
MAGN,2025-10-29,ЛОНГ,6,37.7,24.93,24.9975,22.94,27.48,28.09,26.16,timeout,1.21,4.45
MAGN,2025-10-31,ЛОНГ,6,37.1,24.64,24.6473,23.02,27.48,28.09,26.5,timeout,1.74,7.317
MAGN,2025-11-01,ЛОНГ,6,37.4,24.66,24.7374,23.26,27.48,28.09,26.345,timeout,1.86,6.299
MAGN,2025-11-03,ЛОНГ,9,39.5,24.89,24.8874,23.34,27.48,28.09,25.955,timeout,1.68,4.09
