ticker,date,signal,score,entry,ret_5d,win_5d,ret_10d,win_10d,ret_20d,win_20d,ind_RSI,ind_MACD,ind_EMA_trend,ind_OBV,ind_RSI_div,ind_Candles,ind_Bollinger,ind_Volume,ind_MA_align,ind_Stoch
IRAO,2025-09-02,ШОРТ,-3,3.16,1.3,False,-1.44,True,-2.64,True,0,-1,-1,0,0,-1,0,0,-1,1
IRAO,2025-09-14,ЛОНГ,3,3.13,-1.88,False,-1.58,False,-4.62,False,1,-1,1,0,0,0,1,0,0,1
IRAO,2025-09-15,ЛОНГ,4,3.12,-1.1,False,-1.31,False,-4.58,False,1,-1,1,0,0,0,1,0,0,2
IRAO,2025-09-18,ЛОНГ,4,3.08,-0.39,False,-1.85,False,-10.41,False,1,-1,1,0,0,0,1,0,0,2
IRAO,2025-10-05,ЛОНГ,3,2.93,-5.75,False,-4.61,False,-8.21,False,2,-1,-1,0,0,0,2,0,-1,2
IRAO,2025-12-05,ШОРТ,-3,2.93,5.26,False,6.24,False,5.76,False,0,-2,-1,0,0,0,0,0,0,0
IRAO,2025-12-10,ШОРТ,-3,3.11,-0.03,True,-0.03,True,-0.35,True,-1,1,-1,0,0,0,-2,0,1,-1
IRAO,2025-12-11,ШОРТ,-3,3.14,-0.19,True,-1.29,True,-0.67,True,-2,1,-1,0,0,0,-2,1,1,-1
IRAO,2025-12-12,ШОРТ,-4,3.08,0.93,False,-1.53,True,3.1,False,-2,1,-1,0,0,0,-2,1,1,-2
IRAO,2026-01-08,ШОРТ,-6,3.21,3.57,False,5.43,False,9.67,False,-1,-1,1,0,-2,0,-2,0,0,-1
IRAO,2026-01-14,ШОРТ,-3,3.21,5.18,False,9.57,False,9.66,False,-1,1,1,0,-2,-1,-1,0,0,0
IRAO,2026-01-16,ШОРТ,-3,3.45,-0.73,True,2.05,False,0.39,False,-2,1,1,0,-2,0,-2,1,1,-1
IRAO,2026-01-18,ШОРТ,-3,3.44,2.58,False,4.89,False,0.23,False,-2,1,1,0,0,0,-2,0,1,-2
IRAO,2026-02-01,ШОРТ,-4,3.55,-3.31,True,-3.88,True,-6.25,True,-1,-2,1,0,-2,0,0,0,0,0
IRAO,2026-02-02,ШОРТ,-3,3.55,-2.73,True,-3.03,True,-6.44,True,-1,-1,1,0,-2,0,0,0,0,0
IRAO,2026-02-03,ШОРТ,-3,3.52,-2.01,True,-3.46,True,-5.97,True,-1,-1,1,0,-2,0,0,0,0,0
IRAO,2026-02-04,ШОРТ,-3,3.46,-2.81,True,-3.56,True,-4.54,True,-1,-1,1,0,-2,0,0,0,0,0
IRAO,2026-02-08,ШОРТ,-3,3.45,-1.48,True,-4.03,True,-5.4,True,0,-1,1,-1,-2,0,0,0,0,0
IRAO,2026-02-20,ЛОНГ,3,3.31,-0.02,False,-1.43,False,-4.21,False,1,-1,1,0,0,0,1,0,-1,2
IRAO,2026-03-01,ЛОНГ,5,3.25,-1.17,False,-2.39,False,-1.11,False,2,-1,1,0,0,0,2,0,-1,2
IRAO,2026-03-11,ЛОНГ,4,3.18,-0.2,False,0.19,True,0.03,True,1,-1,1,0,0,0,1,1,-1,2
NMTP,2025-06-29,ШОРТ,-3,9.39,-2.4,True,-2.93,True,-7.77,True,-1,1,-1,0,0,-1,-2,0,1,0
NMTP,2025-08-26,ШОРТ,-3,8.8,1.08,False,1.14,False,-1.53,True,0,1,-1,-1,-2,0,0,0,0,0
NMTP,2025-08-27,ШОРТ,-3,8.79,0.46,False,1.65,False,-1.59,True,0,1,-1,-1,-2,0,0,0,0,0
NMTP,2025-08-28,ШОРТ,-4,8.76,0.51,False,2.51,False,-0.11,True,0,1,-1,-1,-2,-1,0,0,0,0
NMTP,2025-08-29,ШОРТ,-4,8.75,0.97,False,2.0,False,-0.29,True,0,-2,-1,-1,0,0,0,0,0,0
NMTP,2025-08-30,ШОРТ,-3,8.87,0.45,False,0.56,False,-2.71,True,0,-1,-1,0,0,0,0,0,-1,0
NMTP,2025-09-01,ШОРТ,-3,8.83,1.19,False,1.36,False,-4.08,True,0,1,-1,-1,-2,0,-1,0,1,0
NMTP,2025-09-03,ШОРТ,-3,8.84,1.02,False,-0.4,True,-3.96,True,0,1,-1,-1,-2,0,0,0,0,0
NMTP,2025-09-06,ШОРТ,-3,8.94,0.17,False,-3.19,True,-6.27,True,0,1,-1,-1,-2,0,-1,0,1,0
NMTP,2025-09-08,ШОРТ,-4,8.93,-1.4,True,-2.24,True,-7.62,True,-1,1,-1,-1,0,0,-2,0,1,-1
NMTP,2025-09-09,ШОРТ,-3,8.91,-0.84,True,-3.25,True,-7.96,True,0,1,-1,-1,0,0,-1,-1,0,0
NMTP,2025-09-13,ШОРТ,-3,8.8,-0.85,True,-3.58,True,-6.36,True,0,-2,-1,-1,0,0,1,-1,0,1
NMTP,2025-09-14,ШОРТ,-3,8.84,-2.43,True,-5.37,True,-5.2,True,0,-1,-1,-1,0,0,0,0,0,0
NMTP,2025-09-15,ШОРТ,-3,8.66,-1.1,True,-3.23,True,-2.94,True,0,-1,-1,-1,0,0,0,0,0,0
NMTP,2025-09-17,ЛОНГ,3,8.74,-2.4,False,-5.49,False,-4.97,False,1,-1,1,0,0,0,2,0,-1,1
