ticker,date,signal,score,entry,ret_5d,win_5d,ret_10d,win_10d,ret_20d,win_20d,ind_RSI,ind_MACD,ind_EMA_trend,ind_OBV,ind_RSI_div,ind_Candles,ind_Bollinger,ind_Volume,ind_MA_align,ind_Stoch
NLMK,2025-06-20,ЛОНГ,5,110.28,-0.13,False,3.1,True,-3.72,False,1,1,0,0,3,-1,0,0,0,1
NLMK,2025-06-23,ЛОНГ,6,108.8,1.32,True,5.2,True,-2.52,False,1,1,0,0,3,0,1,0,-1,1
NLMK,2025-06-24,ЛОНГ,7,109.12,1.03,True,5.41,True,0.88,True,1,1,0,0,3,0,1,0,-1,2
NLMK,2025-06-25,ЛОНГ,6,110.0,2.55,True,4.45,True,0.98,True,1,1,0,0,3,0,1,0,-1,1
NLMK,2025-06-26,ЛОНГ,6,110.36,4.48,True,4.08,True,0.87,True,1,2,0,0,3,0,0,0,0,0
NLMK,2025-06-27,ЛОНГ,5,110.14,3.23,True,1.33,True,-0.13,False,1,1,0,0,3,0,0,0,0,0
NLMK,2025-07-09,ЛОНГ,7,109.22,0.79,True,4.18,True,0.95,True,1,1,0,0,3,0,1,0,0,1
NLMK,2025-08-13,ШОРТ,-5,127.26,2.78,False,-3.85,True,-8.94,True,-2,1,0,0,0,-1,-2,0,1,-2
NLMK,2025-10-28,ЛОНГ,5,98.64,1.52,True,2.62,True,2.9,True,1,-1,0,0,3,0,1,0,0,1
NLMK,2025-11-08,ЛОНГ,5,100.32,-0.06,False,-0.82,False,6.18,True,0,1,0,0,3,1,0,0,0,0
NLMK,2025-12-20,ШОРТ,-5,108.18,-3.94,True,-1.35,True,-2.18,True,0,-2,0,0,-2,0,0,-1,0,0
SBER,2025-07-07,ШОРТ,-4,313.5,-1.05,True,4.32,False,-1.49,True,-1,1,0,0,0,-1,-1,0,0,-2
SBER,2025-08-07,ЛОНГ,6,313.43,1.69,True,0.98,True,-1.08,False,0,2,0,0,3,0,0,1,0,0
SBER,2025-08-22,ШОРТ,-4,312.05,0.23,False,-0.91,True,-1.58,True,0,-2,-2,0,0,0,0,0,0,0
SBER,2026-01-17,ЛОНГ,5,301.28,1.64,True,1.21,True,-0.22,False,0,2,0,0,3,0,0,0,0,0
GAZP,2025-06-13,ЛОНГ,5,123.39,2.66,True,2.4,True,3.49,True,1,-1,0,0,3,0,1,0,-1,2
GAZP,2025-06-16,ЛОНГ,5,123.05,1.0,True,3.6,True,-1.64,False,0,2,0,0,3,0,0,0,0,0
GAZP,2025-06-17,ЛОНГ,6,127.17,-1.6,False,-0.06,False,-5.9,False,1,1,0,0,3,0,1,0,-1,1
GAZP,2025-06-25,ЛОНГ,5,126.35,2.8,True,1.07,True,-3.74,False,0,1,0,0,3,1,0,0,0,0
GAZP,2025-08-12,ШОРТ,-5,140.8,-1.89,True,-5.85,True,-4.18,True,-2,1,0,0,0,0,-2,-1,1,-2
GAZP,2025-08-29,ШОРТ,-5,135.88,-2.72,True,-1.77,True,-9.65,True,0,-1,0,0,-2,-1,0,0,-1,0
GAZP,2025-10-09,ЛОНГ,5,116.83,-1.34,False,7.59,True,-0.62,False,1,1,0,0,3,0,1,-1,-1,1
GAZP,2025-10-10,ЛОНГ,5,115.18,-0.04,False,9.41,True,0.89,True,0,1,0,0,3,0,0,1,0,0
GAZP,2025-10-11,ЛОНГ,5,115.71,7.48,True,4.49,True,1.56,True,1,1,0,0,3,0,0,0,0,0
GAZP,2025-12-10,ШОРТ,-4,128.32,0.62,False,-0.6,True,-2.31,True,-1,-1,0,0,-2,0,0,0,0,0
GAZP,2025-12-13,ШОРТ,-4,128.14,0.48,False,-2.2,True,-4.63,True,0,-2,0,0,-2,0,0,0,0,0
GAZP,2025-12-15,ШОРТ,-4,129.12,-1.22,True,-3.81,True,-6.44,True,0,-1,0,0,-2,-1,0,0,0,0
GAZP,2025-12-17,ШОРТ,-6,129.11,-3.49,True,-1.13,True,-5.92,True,-1,-1,0,0,-2,0,-1,0,0,-1
GAZP,2025-12-18,ШОРТ,-4,128.76,-2.67,True,-0.72,True,-5.25,True,0,-1,0,0,-2,-1,0,-1,1,0
GAZP,2025-12-20,ШОРТ,-4,127.55,-2.63,True,-1.72,True,-3.18,True,0,-1,0,0,-2,0,0,-1,0,0
MAGN,2025-07-20,ШОРТ,-4,35.09,-6.47,True,-7.67,True,0.97,False,-1,1,0,0,-2,0,-1,0,0,-1
MAGN,2025-07-21,ШОРТ,-5,34.66,-5.31,True,-5.11,True,4.28,False,-1,1,0,0,-2,0,-1,0,0,-2
MAGN,2025-07-23,ШОРТ,-4,34.24,-4.78,True,-3.34,True,1.74,False,-1,1,0,0,-2,0,-1,0,0,-1
MAGN,2025-07-26,ШОРТ,-4,32.82,0.21,False,4.69,False,8.29,False,0,-2,0,0,-2,0,0,0,0,0
MAGN,2025-10-23,ЛОНГ,5,25.45,-0.61,False,-3.03,False,-2.44,False,1,1,0,0,3,0,0,0,0,0
MAGN,2025-10-24,ЛОНГ,7,25.07,-1.72,False,-0.54,False,-2.69,False,1,1,0,0,3,1,1,0,0,0
MAGN,2025-10-27,ЛОНГ,7,24.12,2.24,True,3.67,True,2.65,True,1,1,0,0,3,0,1,0,0,1
MAGN,2025-10-28,ЛОНГ,5,24.75,0.61,True,1.48,True,2.61,True,1,-2,0,0,3,0,2,0,0,1
MAGN,2025-10-29,ЛОНГ,5,24.93,-1.02,False,0.44,True,4.87,True,1,-1,0,0,3,0,1,0,-1,2
MAGN,2025-11-05,ЛОНГ,8,24.68,1.48,True,0.77,True,5.17,True,1,2,0,0,3,0,0,0,0,2
MAGN,2025-11-06,ЛОНГ,5,24.68,5.45,True,0.61,True,7.7,True,1,1,0,0,3,0,0,0,-1,1
MAGN,2025-11-07,ЛОНГ,5,24.93,3.05,True,-2.17,False,6.74,True,1,1,0,0,3,0,0,0,-1,1
MAGN,2025-11-08,ЛОНГ,5,25.0,0.92,True,-0.98,False,7.46,True,0,1,0,0,3,1,0,0,0,0
MAGN,2026-02-20,ШОРТ,-5,32.34,-0.77,True,-3.96,True,-7.44,True,-1,-2,0,0,-2,0,0,0,0,0
MAGN,2026-02-21,ШОРТ,-4,32.28,-3.21,True,-3.62,True,-7.39,True,-1,-1,0,0,-2,0,0,0,0,0
MAGN,2026-02-22,ШОРТ,-4,32.3,-2.43,True,-4.86,True,-8.13,True,-1,-1,0,0,-2,0,0,0,0,0
MAGN,2026-02-23,ШОРТ,-4,32.26,-3.58,True,-6.84,True,-9.64,True,-1,-1,0,0,-2,0,0,0,0,0
MAGN,2026-02-24,ШОРТ,-4,31.68,-1.78,True,-6.85,True,-8.62,True,-1,-1,0,0,-2,0,0,0,0,0
CBOM,2025-06-10,ЛОНГ,5,6.29,-0.64,False,0.48,True,9.03,True,1,1,0,0,3,0,0,0,0,0
CBOM,2025-06-11,ЛОНГ,5,6.28,1.03,True,0.33,True,10.26,True,1,1,0,0,3,0,0,0,0,0
CBOM,2025-06-14,ЛОНГ,5,6.21,1.87,True,3.19,True,11.38,True,1,1,0,0,3,0,0,0,0,0
CBOM,2025-06-15,ЛОНГ,5,6.21,2.3,True,6.17,True,9.26,True,1,1,0,0,3,0,0,0,0,0
CBOM,2025-08-01,ШОРТ,-4,7.24,11.88,False,16.17,False,7.87,False,-1,-1,0,0,-2,0,0,0,0,0
CBOM,2025-08-08,ШОРТ,-4,8.1,3.84,False,2.67,False,-1.2,True,-2,1,0,0,-2,0,-2,1,1,-1
CBOM,2025-08-11,ШОРТ,-5,8.05,1.88,False,0.38,False,-0.42,True,-2,1,0,0,-2,0,-2,1,1,-2
CBOM,2025-08-12,ШОРТ,-5,8.37,-1.79,True,-3.92,True,-5.46,True,-2,1,0,0,-2,0,-2,-1,1,0
CBOM,2025-10-10,ЛОНГ,5,6.68,-4.97,False,8.86,True,-1.47,False,0,2,0,0,3,0,0,1,-1,0
CBOM,2025-10-13,ЛОНГ,5,6.55,10.23,True,2.79,True,0.4,True,1,-1,0,0,3,0,1,0,-1,2
CBOM,2025-10-15,ЛОНГ,5,6.35,14.55,True,2.68,True,5.72,True,1,-1,0,0,3,0,2,0,-1,1
CBOM,2025-10-18,ЛОНГ,5,7.22,-6.75,False,-7.26,False,-2.62,False,0,2,0,0,3,0,0,1,0,-1
CBOM,2025-10-27,ЛОНГ,5,6.52,0.98,True,2.96,True,10.03,True,1,1,0,0,3,0,0,0,0,0
CBOM,2026-02-08,ЛОНГ,5,6.13,-0.62,False,-0.65,False,-4.52,False,1,1,0,0,3,0,0,0,0,0
CBOM,2026-02-10,ЛОНГ,5,6.01,4.59,True,1.75,True,-6.4,False,1,1,0,0,3,0,0,0,-1,1
CBOM,2026-02-11,ЛОНГ,7,6.07,1.55,True,0.74,True,-5.3,False,1,1,0,0,3,0,2,0,-1,1
CBOM,2026-03-05,ЛОНГ,5,5.75,-1.39,False,-0.28,False,-3.97,False,2,-1,0,0,0,0,2,1,-1,2
SNGSP,2025-08-04,ЛОНГ,8,45.08,2.61,True,0.37,True,-1.91,False,2,2,0,0,3,0,0,0,-1,2
SNGSP,2025-08-05,ЛОНГ,5,45.06,2.82,True,0.27,True,-1.9,False,1,1,0,0,3,0,0,0,0,0
SNGSP,2025-08-06,ЛОНГ,5,45.3,1.37,True,0.62,True,-3.52,False,1,1,0,0,3,0,0,0,0,0
SNGSP,2025-08-07,ЛОНГ,5,45.41,0.56,True,-0.39,False,-4.49,False,1,1,0,0,3,0,0,0,0,0
SNGSP,2025-08-08,ЛОНГ,5,45.89,-0.97,False,-2.08,False,-5.38,False,1,1,0,0,3,0,0,0,0,0
SNGSP,2025-08-17,ЛОНГ,5,45.19,-1.36,False,-2.16,False,-4.86,False,1,1,0,0,3,0,0,0,0,0
SNGSP,2025-08-18,ЛОНГ,5,45.58,-2.11,False,-4.11,False,-5.59,False,1,1,0,0,3,0,0,0,0,0
SNGSP,2025-08-22,ЛОНГ,7,44.57,-0.81,False,-2.73,False,0.94,True,1,1,0,0,3,0,1,0,0,1
SNGSP,2025-08-23,ЛОНГ,7,44.62,-2.05,False,-5.29,False,-1.33,False,1,1,0,0,3,0,1,0,-1,2
SNGSP,2025-08-24,ЛОНГ,6,44.56,-2.68,False,-5.41,False,-1.47,False,1,1,0,0,3,0,1,0,-1,1
SNGSP,2025-08-25,ЛОНГ,5,44.24,-1.85,False,-3.07,False,-0.54,False,1,1,0,0,3,-1,1,0,-1,1
SNGSP,2025-08-26,ЛОНГ,6,44.22,-1.82,False,-2.89,False,-0.08,False,1,1,0,0,3,0,1,0,-1,1
SNGSP,2025-08-27,ЛОНГ,6,44.21,-1.93,False,-2.76,False,0.26,True,1,1,0,0,3,0,1,0,-1,1
SNGSP,2025-08-28,ЛОНГ,7,43.7,-3.31,False,-1.54,False,0.77,True,1,1,0,0,3,0,1,0,-1,2
SNGSP,2025-09-27,ЛОНГ,5,41.03,-8.92,False,-6.1,False,-2.85,False,2,-1,0,0,3,0,1,0,-1,1
SNGSP,2025-09-28,ЛОНГ,5,40.88,-5.48,False,-7.27,False,-0.5,False,1,-1,0,0,3,0,1,0,-1,2
SNGSP,2025-10-17,ЛОНГ,5,39.87,0.64,True,-5.53,False,-3.76,False,0,1,0,0,3,0,0,1,0,0
SNGSP,2025-10-28,ЛОНГ,7,37.46,2.02,True,3.4,True,2.11,True,1,1,0,0,3,0,1,0,0,1
SNGSP,2026-01-08,ШОРТ,-4,42.59,0.55,False,-0.16,True,3.29,False,-2,1,0,0,0,0,-2,0,1,-2
SNGSP,2026-01-28,ШОРТ,-6,44.66,-0.13,True,-0.76,True,-5.55,True,-1,-1,0,0,-2,0,-2,0,1,-1
SNGSP,2026-02-02,ШОРТ,-5,44.6,-0.63,True,-2.8,True,-5.45,True,-1,-2,0,0,-2,0,0,0,0,0
SNGSP,2026-02-04,ШОРТ,-6,44.26,-2.06,True,-3.08,True,0.08,False,-1,-2,0,0,-2,0,-1,0,1,-1
SNGSP,2026-02-05,ШОРТ,-4,43.68,-0.8,True,-3.18,True,4.1,False,-1,-1,0,0,-2,0,0,0,0,0
SNGSP,2026-03-02,ШОРТ,-4,46.9,0.09,False,1.81,False,-3.61,True,-2,1,0,0,0,-1,-2,0,1,-1
TATN,2025-07-10,ЛОНГ,5,623.8,0.69,True,6.51,True,3.56,True,1,-1,0,0,3,0,2,0,-1,1
TATN,2025-07-12,ЛОНГ,5,608.7,3.98,True,9.5,True,6.97,True,1,-1,0,0,3,0,2,0,-1,1
TATN,2025-09-12,ЛОНГ,5,645.5,-2.51,False,-2.84,False,-11.26,False,0,2,0,0,3,0,0,0,0,0
